candidate_id,rank,score,reasoning
CAND_0067866,35,0.707,"Adjacent fit as a Senior Software Engineer (ML) with 6.4 years of experience. Strong in embeddings/retrieval and vector databases, though slightly less direct production experience in search/ranking systems."
CAND_0082489,36,0.706,"Adjacent fit as a ML Engineer with 5.3 years of experience. Strong in embeddings/retrieval and vector databases, though notice period is relatively long (90 days)."
CAND_0079064,37,0.705,"Relevant engineering background (5.2 yrs YoE) at Niramai with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (120 days)."
CAND_0077552,38,0.702,"Competent engineer with 3.4 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0046132,39,0.697,"Plausible candidate with 4.3 years of experience and skills in embeddings/retrieval and Python engineering, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0010603,40,0.696,"Plausible candidate with 5.3 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to notice period is relatively long (90 days)."
CAND_0010257,41,0.695,"Competent engineer with 6.5 years of experience. Possesses adjacent skills in vector databases and Python engineering, but ranking is tempered by notice period is relatively long (120 days)."
CAND_0098846,42,0.694,"Plausible candidate with 7.6 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0007411,43,0.693,"Competent engineer with 8.0 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0094685,44,0.692,"Adjacent fit as a AI Research Engineer with 3.5 years of experience. Strong in vector databases and Python engineering, though slightly less direct production experience in search/ranking systems."
CAND_0020877,45,0.691,"Competent engineer with 5.1 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (60 days)."
CAND_0051593,46,0.69,"Adjacent fit as a AI Specialist with 3.7 years of experience. Strong in vector databases and Python engineering, though slightly less direct production experience in search/ranking systems."
CAND_0064270,47,0.689,"Competent engineer with 4.2 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0093185,48,0.688,"Relevant engineering background (4.1 yrs YoE) at Dream11 with skills in vector databases and Python engineering. Included as filler, noting notice period is relatively long (120 days)."
CAND_0081086,49,0.687,"Plausible candidate with 5.2 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0052328,50,0.686,"Plausible candidate with 6.5 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0086893,51,0.685,"Adjacent fit as a ML Engineer with 3.9 years of experience. Strong in embeddings/retrieval and vector databases, though notice period is relatively long (90 days)."
CAND_0040677,52,0.684,"Competent engineer with 4.2 years of experience. Possesses adjacent skills in vector databases and Python engineering, but ranking is tempered by notice period is relatively long (120 days)."
CAND_0068932,53,0.683,"Competent engineer with 5.2 years of experience. Possesses adjacent skills in vector databases and Python engineering, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0067041,54,0.682,"Relevant engineering background (6.9 yrs YoE) at Saarthi.ai with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (120 days)."
CAND_0042029,55,0.681,"Plausible candidate with 6.5 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0036437,56,0.68,"Competent engineer with 4.8 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0007052,57,0.679,"Relevant engineering background (6.5 yrs YoE) at Unacademy with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (60 days)."
CAND_0066791,58,0.678,"Relevant engineering background (5.6 yrs YoE) at Krutrim with skills in vector databases and Python engineering. Included as filler, noting notice period is relatively long (120 days)."
CAND_0000273,59,0.677,"Competent engineer with 5.8 years of experience. Possesses adjacent skills in vector databases and Python engineering, but ranking is tempered by notice period is relatively long (60 days)."
CAND_0076251,60,0.676,"Adjacent fit as a Search Engineer with 7.6 years of experience. Strong in embeddings/retrieval and vector databases, though notice period is relatively long (60 days)."
CAND_0020494,61,0.675,"Competent engineer with 5.9 years of experience. Possesses adjacent skills in embeddings/retrieval and Python engineering, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0015065,62,0.674,"Competent engineer with 3.9 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (90 days)."
CAND_0058575,63,0.673,"Competent engineer with 5.8 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (90 days)."
CAND_0063585,64,0.672,"Competent engineer with 3.1 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (120 days)."
CAND_0069386,65,0.671,"Competent engineer with 3.5 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (90 days)."
CAND_0094759,66,0.67,"Competent engineer with 8.6 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0043381,67,0.669,"Relevant engineering background (3.6 yrs YoE) at PharmEasy with skills in vector databases and Python engineering. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0015967,68,0.668,"Plausible candidate with 5.4 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0091534,69,0.667,"Relevant engineering background (16.6 yrs YoE) at Flipkart with skills in embeddings/retrieval and vector databases. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0055992,70,0.666,"Relevant engineering background (16.9 yrs YoE) at CRED with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (60 days)."
CAND_0059795,71,0.665,"Relevant engineering background (5.6 yrs YoE) at Locobuzz with skills in embeddings/retrieval and Python engineering. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0098952,72,0.664,"Relevant engineering background (5.5 yrs YoE) at CRED with skills in embeddings/retrieval and vector databases. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0054123,73,0.663,"Relevant engineering background (4.7 yrs YoE) at Meta with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (60 days)."
CAND_0001930,74,0.662,"Competent engineer with 6.9 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (120 days)."
CAND_0092706,75,0.661,"Adjacent fit as a AI Research Engineer with 5.8 years of experience. Strong in embeddings/retrieval and Python engineering, though notice period is relatively long (120 days)."
CAND_0091890,76,0.66,"Plausible candidate with 4.7 years of experience and skills in vector databases and Python engineering, but ranking is deferred due to notice period is relatively long (60 days)."
CAND_0035879,77,0.659,"Adjacent fit as a AI Research Engineer with 4.5 years of experience. Strong in vector databases and Python engineering, though notice period is relatively long (120 days)."
CAND_0070589,78,0.658,"Plausible candidate with 3.5 years of experience and skills in embeddings/retrieval and LLMs/fine-tuning, but ranking is deferred due to notice period is relatively long (60 days)."
CAND_0027691,79,0.657,"Plausible candidate with 6.5 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0016163,80,0.656,"Plausible candidate with 6.7 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to notice period is relatively long (120 days)."
CAND_0096104,81,0.655,"Plausible candidate with 7.0 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to relocation is required from Delhi, Delhi."
CAND_0084681,82,0.654,"Plausible candidate with 3.5 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to notice period is relatively long (60 days)."
CAND_0076412,83,0.653,"Relevant engineering background (5.8 yrs YoE) at Wysa with skills in embeddings/retrieval and vector databases. Included as filler, noting notice period is relatively long (120 days)."
CAND_0037566,84,0.652,"Relevant engineering background (6.9 yrs YoE) at LinkedIn with skills in vector databases and Python engineering. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0007460,85,0.651,"Competent engineer with 4.7 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (120 days)."
CAND_0003841,86,0.65,"Plausible candidate with 5.0 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to slightly less direct production experience in search/ranking systems."
CAND_0030348,87,0.649,"Relevant engineering background (4.5 yrs YoE) at BYJU'S with skills in embeddings/retrieval and vector databases. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0019288,88,0.648,"Competent engineer with 5.7 years of experience. Possesses adjacent skills in vector databases and Python engineering, but ranking is tempered by slightly less direct production experience in search/ranking systems."
CAND_0013393,89,0.647,"Competent engineer with 5.3 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (60 days)."
CAND_0068811,90,0.646,"Relevant engineering background (8.0 yrs YoE) at Freshworks with skills in embeddings/retrieval and vector databases. Included as filler, noting slightly less direct production experience in search/ranking systems."
CAND_0042506,91,0.645,"Competent engineer with 4.2 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by relocation is required from Mumbai, Maharashtra."
CAND_0064326,92,0.644,"Plausible candidate with 7.6 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to relocation is required from Gurgaon, Haryana."
CAND_0048166,93,0.643,"Adjacent fit as a ML Engineer with 5.2 years of experience. Strong in vector databases and LLMs/fine-tuning, though slightly less direct production experience in search/ranking systems."
CAND_0014440,94,0.642,"Relevant engineering background (6.4 yrs YoE) at CRED with skills in vector databases and Python engineering. Included as filler, noting notice period is relatively long (60 days)."
CAND_0027723,95,0.641,"Adjacent fit as a ML Engineer with 4.2 years of experience. Strong in vector databases and Python engineering, though slightly less direct production experience in search/ranking systems."
CAND_0072091,96,0.64,"Relevant engineering background (4.6 yrs YoE) at Krutrim with skills in embeddings/retrieval and vector databases. Included as filler, noting candidate is located in Trivandrum, Kerala and requires relocation."
CAND_0075574,97,0.639,"Adjacent fit as a Machine Learning Engineer with 5.7 years of experience. Strong in embeddings/retrieval and vector databases, though notice period is relatively long (60 days)."
CAND_0052335,98,0.638,"Adjacent fit as a Applied ML Engineer with 6.4 years of experience. Strong in embeddings/retrieval and Python engineering, though notice period is relatively long (60 days)."
CAND_0089012,99,0.637,"Plausible candidate with 4.2 years of experience and skills in Python engineering and search/ranking systems, but ranking is deferred due to notice period is relatively long (60 days)."
CAND_0060072,100,0.636,"Adjacent fit as a Staff Machine Learning Engineer with 5.7 years of experience. Strong in embeddings/retrieval and vector databases, though notice period is relatively long (90 days)."
